patid,frame,Length(sec),Midpoint(sec),occip,L_caudate,R_caudate,L_ant_putamen,R_ant_putamen,L_pos_putamen,R_pos_putamen,L_thalamus,R_thalamus,L_pallidum,R_pallidum,L_VDC,R_VDC
mars_10722,1,60.00,50.00,1343.2438,1317.5739,1436.9238,1696.0214,1583.2267,1451.3530,1733.4843,1816.4759,1932.1130,1768.1359,1531.2004,1419.0091,1469.8427
mars_10722,2,60.00,110.00,1559.6712,1624.3350,1720.9678,1759.0194,1900.5068,2004.2405,1707.0578,1881.2656,1959.8165,1891.7272,1849.9454,1580.9237,1592.9081
mars_10722,3,60.00,170.00,1631.1684,1652.2419,1676.6600,1908.4544,1788.6580,1821.5337,1993.0319,1955.4170,2149.9296,1989.4856,1776.8948,1539.2089,1653.0420
mars_10722,4,120.00,260.00,1756.1343,1816.5907,1643.8763,2150.8672,2038.2810,2150.6397,2103.0853,2043.4297,2306.8095,2092.5011,1828.9328,1789.2745,1714.3901
mars_10722,5,120.00,380.00,1917.0731,2015.7775,1835.8034,2156.8028,2348.0372,2229.8755,2359.5008,2137.2821,2269.0142,2226.3867,2361.3356,1843.9846,1917.7270
mars_10722,6,120.00,500.00,1995.0144,1975.5081,1956.5573,2620.3995,2566.4494,2356.6000,2647.4996,2222.3624,2308.0383,2298.0405,2265.6125,1908.5310,1853.5923
mars_10722,7,120.00,620.00,2001.3809,2085.5334,2160.6771,2572.2025,2679.2980,2521.0889,2744.7078,2274.8914,2454.3836,2259.1239,2393.6208,1772.4410,2071.0492
mars_10722,8,180.00,770.00,2047.9027,2355.2865,2194.7521,2525.2716,2660.1818,2422.1293,2742.4110,2264.7334,2398.8755,2477.0100,2400.8299,1863.9663,1922.7147
mars_10722,9,180.00,950.00,1968.4109,2391.9341,2195.0983,2687.2205,2683.6381,2649.6704,2778.4473,2311.7510,2256.5222,2546.4542,2597.1678,1868.8992,1865.2950
mars_10722,10,180.00,1130.00,1949.6928,2231.4297,2389.9227,2732.1261,2797.7722,2590.5318,2858.1140,2225.6434,2240.0301,2610.6072,2556.8258,1848.5841,1813.7021
mars_10722,11,300.00,1370.00,1930.3994,2456.0143,2340.3648,2793.3842,2719.9024,2727.3607,2856.8744,2144.3755,2222.7881,2628.3934,2531.5148,1809.1211,1761.9566
mars_10722,12,300.00,1670.00,1814.5611,2465.9728,2447.0999,2815.7158,2785.7393,2734.6119,2875.5868,2093.9511,2106.6272,2596.9687,2554.6073,1798.3415,1868.1751
mars_10722,13,300.00,1970.00,1724.1263,2470.5372,2477.4022,2768.4135,2737.4412,2661.6835,2796.4750,1914.5099,2067.4789,2529.5477,2528.4575,1620.3511,1893.9007
mars_10722,14,300.00,2270.00,1673.8273,2576.1820,2507.9623,2868.3639,2905.9448,2605.2195,2732.5784,1822.2041,1923.3792,2588.8095,2576.8838,1649.5471,1763.5067
mars_10722,15,300.00,2570.00,1566.1068,2615.9287,2387.0982,2728.9296,2811.2229,2569.4316,2768.5743,1841.3425,1788.4094,2576.7260,2521.6321,1638.4307,1706.0523
mars_10722,16,300.00,2870.00,1481.3351,2527.0737,2391.9929,2819.4794,2821.5709,2508.8713,2788.1933,1695.4099,1781.2013,2489.3839,2403.4862,1543.3279,1642.8447
mars_10722,17,300.00,3170.00,1429.5353,2412.3869,2463.7251,2700.9454,2689.9044,2462.6435,2534.4231,1610.4598,1686.4908,2294.8384,2430.3286,1505.3103,1669.0573
mars_10722,18,300.00,3470.00,1336.3402,2447.4076,2333.1344,2747.6850,2833.0716,2475.7417,2621.0173,1509.1908,1659.8001,2423.2130,2476.9802,1456.6293,1646.2898
mars_10722,19,300.00,3770.00,1261.1247,2391.3584,2322.9905,2691.8162,2715.9761,2476.0844,2572.0238,1461.4515,1513.0687,2349.9349,2291.8887,1418.3909,1502.4714
mars_10722,20,300.00,4070.00,1250.2125,2329.9497,2443.7049,2641.8927,2672.7076,2393.4160,2466.4046,1451.6531,1605.9132,2351.8231,2248.3025,1451.9036,1598.1175
mars_10722,21,300.00,4370.00,1160.2431,2489.6714,2380.7022,2625.7979,2685.0011,2293.7665,2488.9021,1415.2859,1461.9292,2238.0086,2208.2562,1451.1468,1351.1623
mars_10722,22,300.00,4670.00,1140.6452,2357.6475,2347.7728,2633.3018,2636.0981,2347.5091,2441.1661,1333.1658,1441.1996,2390.9662,2228.5265,1340.2028,1489.3735
mars_10722,23,300.00,4970.00,1077.1806,2335.3564,2405.7645,2573.0777,2626.4786,2328.7619,2438.6100,1325.9605,1368.6509,2245.5536,2251.9974,1355.7588,1424.1521
mars_10722,24,300.00,5270.00,1055.8912,2268.8758,2198.3281,2426.9166,2755.8453,2340.4841,2368.2611,1242.8098,1278.7746,2184.6867,2223.0539,1373.6604,1400.0742
mars_10722,25,300.00,5570.00,1023.2756,2285.1128,2222.0702,2526.0703,2665.6994,2217.2065,2446.8367,1199.5664,1243.3606,2196.8151,2302.7848,1370.5382,1380.9471
